,CentralAir-conditioning,Age-Restricted,CommunityAssociation,Foundation,Condominium,Deck,DesignofHouse,Division,TypeofFinancing,FinishedBasement,Two-StoryFoyer,FramingMaterial,ParkingFacility,PrimarySpaceHeatingSystem,SecondSpaceHeatingSystem,LaundryLocation,MetropolitanArea,ConstructionMethod,Patio,Porch,SewageDisposalSystem,Stories,PrimaryExteriorWallMaterial,SecondaryExteriorWallMaterial,SecondaryExteriorWallMaterial,WaterSupplySource,Bedrooms,Fireplace,FullBathrooms,HalfBathrooms,SaleDate,Weight,PrimarySpaceHeatingFuel,SecondSpaceHeatingFuel,FinalSquareFootAreaofFinishedBasementatCompletionFlag,FinalSalesPriceFlag,FinalContractPriceFlag,FinalSquareFootAreaofHouseatCompletionFlag,PermitValueFlag,SalesPrice,FinalContractPriceatCompletion,FinalSalesPriceatCompletion,Permitvalue,SquareFootAreaofHouse,FinalSquareFootAreaofHouseatCompletion,LotValue,SquareFootAreaofFinishedBasement,FinalSquareFootAreaofFinishedBasementatCompletion,SquareFootAreaoftheLot
5844,1.0,2.0,1.0,1.0,2.0,2.0,1.0,5,1.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,1,3.0,2.0,1.0,1,2.0,7.0,7.0,1.0,1.0,4.0,1.0,3.0,1.0,201712,91,2.0,1.0,0,0,0,0,0,763000.0,0,0,350000,4200.0,4200,224000.0,0.0,0,10200.0
5893,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1,3.0,2.0,1.0,1,2.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,201811,224,2.0,1.0,0,0,0,0,0,441000.0,0,0,220000,2900.0,0,84000.0,0.0,0,8100.0
5923,1.0,2.0,1.0,3.0,2.0,2.0,1.0,5,3.0,0.0,2.0,1.0,2.0,2.0,1.0,3.0,1,3.0,1.0,1.0,1,2.0,4.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,201707,46,2.0,1.0,0,0,0,0,0,234000.0,0,0,204000,3600.0,3600,23000.0,0.0,0,13100.0
5939,1.0,2.0,1.0,1.0,2.0,2.0,1.0,5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1,2.0,2.0,1.0,1,2.0,4.0,7.0,1.0,1.0,4.0,1.0,4.0,1.0,201806,43,2.0,1.0,0,0,0,0,0,787000.0,0,788000,0,6500.0,6500,158000.0,1300.0,1300,11400.0
5962,1.0,2.0,1.0,3.0,2.0,2.0,1.0,5,1.0,0.0,2.0,1.0,2.0,2.0,1.0,3.0,1,3.0,1.0,2.0,1,2.0,7.0,7.0,1.0,1.0,5.0,1.0,4.0,0.0,201805,85,2.0,2.0,0,0,0,0,0,476000.0,0,478000,197000,3200.0,3200,85000.0,0.0,0,6200.0
6038,1.0,2.0,1.0,3.0,2.0,1.0,1.0,5,3.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,1,3.0,2.0,1.0,1,2.0,2.0,5.0,1.0,1.0,4.0,1.0,3.0,0.0,201812,52,2.0,1.0,0,0,0,0,0,314000.0,0,0,210000,3900.0,0,42000.0,0.0,0,17400.0
6064,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5,4.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1,3.0,1.0,1.0,2,2.0,7.0,7.0,1.0,1.0,4.0,1.0,3.0,1.0,201705,29,2.0,2.0,0,0,0,0,0,469000.0,0,0,178000,3800.0,0,75000.0,0.0,0,56600.0
6297,1.0,1.0,1.0,2.0,2.0,2.0,1.0,5,2.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,1,3.0,2.0,1.0,1,2.0,4.0,7.0,1.0,1.0,3.0,0.0,2.0,1.0,201809,228,2.0,1.0,0,0,0,0,0,313000.0,0,0,153000,2800.0,0,70000.0,0.0,0,15000.0
6441,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5,5.0,1.0,1.0,3.0,3.0,1.0,4.0,2.0,2,3.0,2.0,1.0,2,2.0,4.0,2.0,1.0,2.0,4.0,1.0,4.0,1.0,201709,29,1.0,3.0,0,0,0,0,0,700000.0,0,0,200000,5100.0,0,75000.0,1000.0,0,39200.0
6618,1.0,2.0,1.0,2.0,2.0,2.0,1.0,5,1.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,2,3.0,1.0,1.0,1,2.0,2.0,8.0,1.0,1.0,4.0,1.0,3.0,1.0,201706,59,2.0,1.0,0,0,0,0,0,600000.0,0,550000,296000,4100.0,4100,100000.0,0.0,0,39200.0
6630,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2,3.0,1.0,1.0,1,2.0,4.0,7.0,1.0,1.0,4.0,0.0,3.0,1.0,201711,57,1.0,3.0,0,0,0,0,0,700000.0,0,700000,0,3400.0,3400,75000.0,0.0,0,8700.0
6718,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1,2.0,1.0,1.0,1,2.0,2.0,7.0,1.0,1.0,4.0,1.0,4.0,2.0,201806,59,2.0,1.0,0,0,0,0,0,525000.0,0,0,339000,4600.0,4600,133000.0,0.0,0,17400.0
6760,1.0,2.0,1.0,3.0,2.0,2.0,1.0,6,1.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1,3.0,1.0,1.0,1,2.0,2.0,8.0,1.0,1.0,4.0,1.0,3.0,1.0,201808,27,1.0,2.0,0,0,0,0,0,345000.0,0,0,304000,4300.0,0,62000.0,0.0,0,21800.0
6856,1.0,2.0,2.0,2.0,2.0,1.0,1.0,6,1.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,1,3.0,2.0,1.0,1,2.0,2.0,7.0,1.0,1.0,4.0,1.0,3.0,1.0,201808,92,2.0,1.0,0,0,0,0,0,430000.0,0,0,415000,3600.0,0,60000.0,0.0,0,39200.0
6890,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1,3.0,1.0,1.0,1,2.0,2.0,7.0,1.0,1.0,5.0,2.0,4.0,2.0,201704,92,2.0,1.0,0,0,0,1,0,900000.0,0,900000,0,8100.0,7646,175000.0,1800.0,0,43600.0
